date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
08/08/1965,"Minot, North Dakota",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472666-Minot-NorthDakota.pdf,-101.296273,48.23251,#4089ba,medium,circle-stroked
08/08/1965,"Fresno, California",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472683-Fresno-California.pdf,-119.708861260756,36.7295295,#f90105,medium,triangle-stroked
09/08/1965,"Hollywood Hills, California",ball,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472790-HollywoodHills-California.pdf,-118.3355474,34.1311792,#4089ba,medium,circle-stroked
09/08/1965,"Proctor, Minnesota",flying object,Astro(Antares),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472734-Proctor-Minnesota.pdf,-92.2254695,46.7471638,#122c87,medium,lighthouse
09/08/1965,"Montrose, Colorado",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472860-Montrose-Colorado.pdf,-107.8762771,38.4781927,#4089ba,medium,circle-stroked
09/08/1965,"Cedar Rapids, Iowa",light,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472711-CedarRapids-Iowa.pdf,-91.6704053,41.9758872,#122c87,medium,lighthouse
10/08/1965,"Suffolk County, NY",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7472974-SuffolkCounty-NY.pdf,-72.8578027,40.8832318,#319f1d,medium,airport
10/08/1965,"Orlando, Florida",flying object,Astro(Venus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473094-Orlando-Florida.pdf,-81.3790388,28.5421097,#122c87,medium,lighthouse
10/08/1965,"Phoenix, Arizona",flying object,Astro(meteor),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473170-Phoenix-Arizona.pdf,-112.0773456,33.4485866,#122c87,medium,lighthouse
10/08/1965,"Los Angeles, California",flying object,Astro(Mars),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473209-LosAngeles-California.pdf,-118.2427669,34.0536834,#122c87,medium,lighthouse
10/08/1965,"Freemont, California",flying object,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473235-Freemont-California.pdf,-120.316785,37.2905222,#319f1d,medium,airport
11/08/1965,"Waterford, Connecticut",flying object,imagination,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473267-Waterford-Connecticut.pdf,-72.1519367,41.358659,#c713e7,medium,cross
11/08/1965,"Albany, New York",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473357-Albany-NewYork.pdf,-73.754968,42.6511674,#319f1d,medium,airport
11/08/1965,"Far Rockaway, New York",flying object,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473745-FarRockaway-NewYork.pdf,-73.7551326,40.6053825,#122c87,medium,lighthouse
11/08/1965,"Zionsville, Indiana",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473800-Zionsville-Indiana.pdf,-86.2616968,39.950724,#319f1d,medium,airport
11/08/1965,"Pueblo, Colorado",flying object,Astro(star/planet),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473906-Pueblo-Colorado.pdf,-104.609141,38.2544472,#122c87,medium,lighthouse
11/08/1965,"Prospect Heights, Illinois",flying object,Astro(Capella),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7474011-ProspectHeights-Illinois.pdf,-87.9375694,42.0953049,#122c87,medium,lighthouse
11/08/1965,"Whiteman AFB, Missouri",flying object,Astro(star/planet),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7474203-WhitemanAFB-Missouri.pdf,-93.5614331941913,38.7298305,#122c87,medium,lighthouse
11/08/1965,"Richmond, Walnut Creek, California",light,Astro(Reflected Moonlight),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7473291-Richmond-WalnutCreek-California.pdf,-122.268631726891,37.8816725,#122c87,medium,lighthouse
12/08/1965,"Ramona, California",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7474756-Ramona-California.pdf,-116.867513220741,33.035378,#f90105,medium,triangle-stroked
12/08/1965,"Duluth, Minnesota",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7474855-Duluth-Minnesota.pdf,-92.1251218,46.7729322,#4089ba,medium,circle-stroked
12/08/1965,"Amarillo,Texas",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7475136-Amarillo-Texas.pdf,-101.8338246,35.2072185,#f90105,medium,triangle-stroked
12/08/1965,"Seattle, Washington",flying object,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7475341-Seattle-Washington.pdf,-122.3300624,47.6038321,#319f1d,medium,airport
12/08/1965,"Pleasant Hill, Missouri",light,Astro(Antares),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7475417-PleasantHill-Missouri.pdf,-94.2455016,38.7938983,#122c87,medium,lighthouse
12/08/1965,"Toledo, Ohio",light,aircraft,https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7475480-Toledo-Ohio.pdf,-83.5127283,41.6786754,#319f1d,medium,airport
12/08/1965,"Happy, Texas",light ,Astro(meteor),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7475278-Happy-Texas.pdf,-101.8546322,34.7436704,#122c87,medium,lighthouse
13/08/1965,"Beaver, Pennsylvania",flying object,Astro(star/planet),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7475534-Beaver-Pennsylvania.pdf,-80.3709999,40.6916624,#122c87,medium,lighthouse
13/08/1965,"Courcelles, Belgium",flying object,satellite,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-08-7475549-Courcelles-Belgium.pdf,4.3763406,50.4601576,#4089ba,medium,circle-stroked
