date,place,seen,real,link,lon,lat,marker-color,marker-size,marker-symbol
21/10/1965,"St George, Minnesota",flying object,insufficient data,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8698684-St-George-Minnesota.pdf,-94.532478,44.3894068,#23ed0c,medium,rocket
23/10/1965,"Rolling Meadows, Illinois",flying object,reflection,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8674033-RollingMeadows-Illinois.pdf,-88.0131275,42.0841936,#23ed0c,medium,rocket
23/10/1965,"Alexander City, Alabama",flying object,balloon,https://archive.org/download/bluebook/1960s.zip/1960s%2F1965-10-8698684-St-George-Minnesota.pdf,-85.9538532,32.944012,#23ed0c,medium,rocket
23/10/1965,"Bayshore, New York",light,aircraft,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8674678-Bayshore-NewYork.pdf,-73.8165505,40.8459592,#ebe30f,medium,star
25/10/1965,"Dayton, Ohio",flying object,Astro(Venus),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8689225-Dayton-Ohio.pdf,-84.1916069,39.7589478,#23ed0c,medium,rocket
25/10/1965,"Dayton, Ohio",flying object,Astro(Venus),https://ia601301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8689225-Dayton-Ohio.pdf,-84.1916069,39.7589478,#23ed0c,medium,rocket
25/10/1965,"Wheeling, W Va",flying object,unreliable report,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8699169-Whealing-W-Va.pdf,-80.7209149,40.0639616,#23ed0c,medium,rocket
25/10/1965,"Luke AFB, Arizona",flying object,Astro(Jupiter),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8699234-LukeAFB-Arizona.pdf,-112.3776694,33.536038,#23ed0c,medium,rocket
27/10/1965,"Newton Center, Massachusetts",flying object,Astro(Venus),https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8699362-NewtonCenter-Mass.pdf,-71.1994989,42.3306528,#23ed0c,medium,rocket
27/10/1965,"Newton Center, Massachusetts",flying object,balloon,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8699362-NewtonCenter-Mass.pdf,-71.1994989,42.3306528,#23ed0c,medium,rocket
28/10/1965,"Rolling Meadows, Illinois",flying object,,https://ia801301.us.archive.org/zipview.php?zip=/8/items/bluebook/1960s.zip&file=1960s%2F1965-10-8674033-RollingMeadows-Illinois.pdf,-88.0131275,42.0841936,#23ed0c,medium,rocket
